rid,preferred_name,definition,synonyms,acronyms
RID10393,imaging purpose,,reason for exam,
RID10394,diagnosis,"The determination of the nature of a disease or condition, or the distinguishing of one disease or condition from another. Assessment may be made through physical examination, laboratory tests, or the likes. Computerized programs may be used to enhance the decision-making process. [MeSH]",dx,
RID10395,marking for intervention,,,
RID10396,,,,
RID10397,ablation,,ablat; ablate,
RID10398,aspiration of bodily substance,the act of puncturing a body cavity or organ with a hollow needle in order to draw out fluid. puncture - the act of puncturing .,aspiration of tissue or fluid; centesis; tissue or fluid aspiration,
RID10399,dilation of structure,,,
RID104,,,,
RID10400,,,,
RID10401,atherectomy,"Endovascular procedure in which atheromatous plaque is excised by a cutting or rotating catheter. It differs from balloon and laser angioplasty procedures which enlarge vessels by dilation but frequently do not remove much plaque. If the plaque is removed by surgical excision under general anesthesia rather than by an endovascular procedure through a catheter, it is called endarterectomy. [MeSH]",,
RID10402,stent placement,,,
RID10403,thrombolysis,,,
RID10404,embolization,"A method of hemostasis utilizing various agents such as Gelfoam, silastic, metal, glass, or plastic pellets, autologous clot, fat, and muscle as emboli. It has been used in the treatment of spinal cord and intracranial arteriovenous malformations, renal arteriovenous fistulas, gastrointestinal bleeding, epistaxis, hypersplenism, certain highly vascular tumors, traumatic rupture of blood vessels, and control of operative hemorrhage. [MeSH]",embolize,
RID10405,temporary occlusion,,,
RID10406,infusion,,,
RID10407,repair,,,
RID10408,object retrieval,,retrieval,
RID10409,measurement type,,measure; measurement; type of measurement,
RID10410,narrow,,,
RID10412,thrombectomy,Surgical removal of an obstructing clot or foreign material from a blood vessel at the point of its formation. Removal of a clot arising from a distant site is called embolectomy. [MeSH],clot removal,
RID10413,device manipulation,,,
RID10414,,,,
RID10415,device removal,Removal of an implanted therapeutic or prosthetic device. [MeSH],,
RID10416,shunt creation,,,
RID10417,drainage,"The removal of fluids or discharges from the body, such as from a wound, sore, or cavity. [MeSH]",,
RID10418,direct injection,,,
RID10419,brachytherapy,"A collective term for interstitial, intracavity, and surface radiotherapy. It uses small sealed or partly-sealed sources that may be placed on or near the body surface or within a natural body cavity or implanted directly into the tissues. [MeSH]",,
RID10420,patient position,"A generic descriptor of anatomic configuration, not referring to orientation in an image.  For descriptors of patient position within an image, see terms under “imaging view” instead. [Radlex 9-28-2016]",,
RID10421,supine position,,sup; supine,
RID10422,prone position,,pro; prone,
RID10423,decubitus position,,decub; decubitis; decubitus,
RID10424,right lateral decubitus position,,right decubitis; right decubitus; right lateral decubitus; rt decub,
RID10425,left lateral decubitus position,,left decubitis; left decubitus; left lateral decubitus; lt decub,
RID10426,dorsal decubitus position,,dorsal decubitis; dorsal decubitus,
RID10427,extension position,,extension,
RID10428,hyperextension position,,hyperex; hyperextension,
RID10429,flexion position,,flex; flexion,
RID10430,hyperflexion position,,hyperflex; hyperflexion,
RID10431,partial flexion position,,part flex; partial flexion,
RID10432,patient rotation position,,patient rotation,
RID10433,external rotation position,,ext rot; external rotation,
RID10434,internal rotation position,,int rot; internal rotation,
RID10435,lateral rotation position,,lat rot; lateral rotation,
RID10436,medial rotation position,,med rot; medial rotation,
RID10438,lateral supine position,,lateral supine,
RID10439,lateral decubitus position,,lateral decubitus,
RID10440,oblique position,,,
RID10441,left anterior oblique position,,lao; left anterior oblique,
RID10442,left posterior oblique position,,left posterior oblique; lpo,
RID10443,right anterior oblique position,,rao; right anterior oblique,
RID10444,right posterior oblique position,,right posterior oblique; rpo,
RID10445,deviation position,,deviation,
RID10446,radial deviation position,,rad dev; radial deviation; radial deviation rotation,
RID10447,ulnar deviation position,,uln dev; ulnar deviation,
RID10448,bending position,,bending,
RID10449,lordotic position,,lord; lordotic,
RID10450,neutral position,,neutral,
RID10451,open mouth position,,open mouth,
RID10452,sitting position,,sitting,
RID10453,standing position,"The physical state of supporting an applied load. This often refers to the weight-bearing bones or joints that support the body's weight, especially those in the spine, hip, knee, and foot. [MeSH]",stand; standing,
RID10455,upright position,,erect; upright,
RID10457,shoulder extension,,,
RID10459,ventral position,,,
RID10460,held position,,being held,
RID10461,patient orientation,orientation of patient relative to imaging device,,
RID10462,head first orientation,,,
RID10463,feet first orientation,,,
RID10464,patient maneuver,"Relating to a challenge presented to a patient, often with the goal of elucidating or testing some dynamic aspect of anatomy or physiology.  Maneuvers often carry an implication of patient exertion (e.g. Valsalva maneuver), although some maneuvers do not involve patient exertion (e.g. pharmacologic cardiac stress).  By this logic, stress radiographs of the ankle joint would involve a stress maneuver, since the stress applied is intended to test the stability of the joint.  Similarly, weight-bearing radiographs of the foot would involve a weight-bearing maneuver, since the act of standing is intended to assess bony alignment under load-carrying conditions.  Carrying this logic further, terms indicating the absence of a challenge would also be maneuver terms, such as “without maneuver”. [Radlex 9-28-2016]",,
RID10465,augmentation maneuver,,,
RID10466,compression of tissue,,,
RID10467,exhalation maneuver,The act of breathing out. [MeSH],exp; expiration maneuver,
RID10468,inspiration maneuver,The act of breathing in. [MeSH],insp,
RID10469,temporal tap,,,
RID10470,Valsalva maneuver,Forced expiratory effort against a closed glottis. [MeSH],,
RID10471,straining maneuver,,strain maneuver,
RID10472,musculoskeletal stress maneuver,,,
RID10473,Mueller maneuver,,Muller maneuver,
RID10475,stress maneuver,,,
RID10476,physiological stress,,stress,
RID10477,exercise stress maneuver,,,
RID10478,treadmill exercise,,,
RID10479,Naughton protocol exercise,,,
RID10480,Bruce protocol exercise,,,
RID10481,modified Bruce protocol exercise,,,
RID10482,bicycle exercise,,ergometer exercise,
RID10484,leg pedaling exercise,,,
RID10485,arm pedaling exercise,,,
RID10486,cardiac pacing stress,,,
RID10487,cold pressor stress,,,
RID10488,hand exercises,,,
RID10489,pharmacologic stress,,,
RID10490,adenosine stress,,,
RID10491,dipyridamole stress,,,
RID10492,dobutamine stress,,,
RID10493,mental stress,,,
RID10494,breathing maneuver,,,
RID10495,no breathhold instruction,,,
RID10496,continuous breathing maneuver,,,
RID10497,deep breaths,,,
RID10498,shallow breaths,,,
RID10499,breathing suspension,,,
RID105,lower esophageal muscular ring,,A ring,
RID10500,inspiratory breathhold instruction,,,
RID10501,expiratory breathhold instruction,,,
RID10502,active expiration,,,
RID10503,end expiration,,,
RID10504,breast view,,,
RID10505,rolled lateral breast view,,rolled lateral,
RID10506,rolled medial breast view,,rolled medial,
RID10507,rolled inferior breast view,,rolled inferior,
RID10508,rolled superior breast view,,,
RID10509,implant displaced,,impl dep,
RID10510,radiography procedure attribute,,,
RID10511,radiographic projection,,central ray angulation; projection,
RID10512,AP axial oblique projection,,anteroposterior axial oblique projection; anteroposterior axial oblique ray,
RID10513,AP axial projection,,anteroposterior axial projection; anteroposterior axial ray,
RID10514,axial projection,,,
RID10515,axiolateral projection,,,
RID10516,craniocaudal exaggerated laterally projection,,cranio-caudal exaggerated laterally projection,
RID10517,craniocaudal exaggerated medially projection,,cranio-caudal exaggerated medially projection,
RID10518,caudocranial projection,,caudo-cranial projection,
RID10519,craniocaudal projection,,cranio-caudal projection; craniocaudal ray,
RID10520,exaggerated craniocaudal projection,,exaggerated cranio caudal projection; exaggerated craniocaudal ray,
RID10521,frontal projection,,frontal ray; frontal view,
RID10522,inferosuperior axial projection,,,
RID10523,lateral projection,,lateral ray,
RID10524,lateromedial projection,,latero-medial projection; lateromedial ray,
RID10525,lateromedial oblique projection,,latero-medial oblique projection; lateromedial oblique ray,
RID10526,mediolateral projection,,medio-lateral projection; mediolateral ray,
RID10527,mediolateral oblique projection,,medio-lateral oblique projection; mediolateral oblique ray,
RID10528,oblique projection,,oblique ray,
RID10529,PA axial oblique projection,,posteroanterior axial oblique projection; posteroanterior axial oblique ray,
RID10530,PA axial projection,,posteroanterior axial projection; posteroanterior axial ray,
RID10531,panoramic projection,,panoramic ray,
RID10532,superoinferior axial projection,,,
RID10533,superolateral to inferomedial oblique projection,,superolateral to inferomedial oblique ray,
RID10534,radiography grid,,,
RID10535,focused grid,,,
RID10536,parallel grid,,,
RID10537,criss-cross grid,,,
RID10538,moving grid,,,
RID10539,fixed grid,,,
RID10540,radiography filter,,,
RID10541,compensation filter,,,
RID10542,wedge filter,,,
RID10543,beam-shaping filter,,,
RID10544,radiation exposure measure,,radiation exposure value,
RID10545,entrance skin exposure,,ESE,
RID10547,entrance air KERMA,,entrance air kinetic energy released in material,
RID10549,dose area product,,DAP,
RID10551,KERMA area product,,KAP,
RID10553,radiation dose estimate,,,
RID10554,entrance skin dose,,,
RID10555,cross-sectional procedure attribute,,,
RID10556,scanning direction,,,
RID10557,cephalocaudad,,,
RID10558,caudocephalad,,,
RID10559,scan trigger method,,,
RID10560,fixed delay scan,,,
RID10561,,,,
RID10562,automatic bolus tracking,,,
RID10563,site of region of interest for measuring contrast enhancement,,,
RID10564,monitoring delay,,,
RID10565,interval for monitoring scans,,,
RID10566,threshold enhancement for trigger,,,
RID10567,upper limit trigger time,,,
RID10568,test bolus technique,,,
RID10569,imaging plane,the position and orientation of the image slice relative to the patient-based coordinate system [Radlex committee',image plane,
RID10570,coronal plane,,,
RID10571,longitudinal plane,,long axis,
RID10573,oblique plane,,,
RID10574,sagittal plane,,paramedian plane; parasagittal plane; sag,
RID10577,anatomical transverse plane,the orientation of the image is across the long axis of the subject being imaged,short axis; transverse plane,
RID10579,axial plane,the orientation of the image is across the axis of the imaging gantry,transaxial plane,
RID10581,CT procedure attribute,,,
RID10582,CT exposure control method,,,
RID10583,angular tube current modulation,modulation of the tube current to equalize the photon flux to the detector as the x-ray tube rotates about the patient,,
RID10584,longitudinal tube current modulation,"modulation of the tube current among anatomic regions (eg, shoulders vs abdmen vs pelvis) to provide the desired level of image quality",z-axis tube current modulation,
RID10586,angular longitudinal tube current modulation,"the simultaneous combination of angular and longitudinal (x-, y-, and z-axis) tube current modulation during gantry rotation and along the the z-axis of the patient",angular-longitudinal tube current modulation; combined xyz tube current modulation,
RID10588,CT detector configuration,,,
RID10589,multi-detector row configuration,,multichannel configuration; multisection configuration; multislice configuration,
RID10593,single-detector row configuration,,single section configuration; single slice configuration,
RID10596,flat panel detector configuration,,,
RID10597,CT detector,,,
RID10598,Xenon ionization chamber,,,
RID10599,solid-state crystal scintillation detector,,,
RID10600,solid-state ceramic scintillation detector,,,
RID10601,CT motion mode,,,
RID10602,stationary,,,
RID10603,rotating,,,
RID10604,translation,,,
RID10605,scanning electron beam,,,
RID10606,CT scan mode,,,
RID10607,CT projection radiograph,,CT scanned projection radiograph; scout view; surview; topogram,
RID10613,helical scan mode,,spiral scan mode,
RID10615,axial scan mode,,sequential scan mode; step-and-shoot scan mode,
RID10618,dynamic CT attribute,,CT perfusion attribute,
RID10620,CT reconstruction method,,,
RID10621,analytical reconstruction,,,
RID10622,approximate reconstruction,,,
RID10623,exact reconstruction,,,
RID10624,iterative reconstruction,,,
RID10625,CT reconstruction filter,,,
RID10626,smooth kernel,,low frequency reconstruction algorithm; low spatial resolution process; low spatial resolution reconstruction algorithm; smooth filter; soft-tissue reconstruction process,
RID10632,sharp kernel,,high frequency reconstruction algorithm; high spatial resolution process; high spatial resolution reconstruction algorithm; lung or bone reconstruction; sharp filter,
RID10638,MR procedure attribute,,,
RID10639,MR coil geometry,,coil; coil geometry,
RID10640,birdcage coil,,,
RID10641,solenoid coil,,,
RID10642,planar surface coil,,surface coil,
RID10644,chimney coil,,,
RID10645,butterfly coil,,,
RID10646,saddle coil,,,
RID10647,single turn solenoid coil,,loop coil,
RID10649,Helmholtz coil,,Helmholtz pair,
RID10651,TEM coil,Transverse electromagnetic coil,,
RID10652,Litz coil,,,
RID10653,antenna coil,,,
RID10654,MR coil transmission mode,,,
RID10655,linear transmission mode,,,
RID10656,circularly polarized transmission mode,,quadrature,
RID10658,transmit array,,multi-element transmission coil,
RID1066,,,,
RID10660,single-tuned transmission mode,,,
RID10661,dual-tuned transmission mode,,multinuclear transmission mode,
RID10663,MR coil detection mode,,,
RID10664,linear detection mode,,,
RID10665,circularly polarized detection mode,,quadrature detection mode,
RID10667,receiver array,,multi-element detection coil; phased array coil,
RID10670,single-tuned detection mode,,,
RID10671,dual-tuned detection mode,,multinuclear detection mode,
RID10673,MR preparation or modification technique,,,
RID10674,inversion recovery,Inversion of the longitudinal magnetization,,
RID10675,saturation recovery,Saturation of the longitudinal magnetization,,
RID10676,T2 prep,Storage of a T2 contrast in the longitudinal magnetization using e.g. the pulses (90°)-(180°)-(-90°),T2P,
RID10678,T2 star prep,Storage of a T2* contrast in the longitudinal magnetization using e.g. the pulses (90°)-TE-(-90°),T2SP,
RID10680,spectral saturation,"Selective saturation of the non-proton spins (e.g. fat, silicone)",SSAT; chemical saturation; chemical suppression; spectral suppression,
RID10685,fat saturation,,fat suppression,
RID10687,water saturation,,water suppression,
RID10689,silicone saturation,,silicone suppression,
RID10691,spectral inversion,"Selective inversion of the non-proton spins (e.g. fat,silicon)",chemical inversion,
RID10693,fat inversion,,,
RID10695,water inversion,,,
RID10697,silicone inversion,,,
RID10699,magnetization transfer,suppression of the liquid-pool proton signal using magnetization transfer from the bound pool,,
RID107,lower esophageal mucosal ring,,B ring; terminal esophageal web,
RID10700,spatial saturation,Spatially selective saturation,pre-saturation tagging; regional pre-saturation tagging; saturation band,
RID10704,spin labeling,Spatially selective excitation or inversion for tagging of moving spins; typically for blood,,
RID10705,driven equilibrium,–90° pulse at the end of the echo train to accelerate the longitudinal relaxation recovery,,
RID10706,two-dimensional selective radiofrequency pulse,RF pulse with a spatial selectivity in 2 dimensions,2D selective RF pulse,
RID10708,non-spatially selective radiofrequency pulse,,non-selective RF pulse; non-selective radiofrequency pulse; non-spatially selective RF pulse,
RID10712,spatial-spectral RF pulse,Simultaneous spatially and spectrally selective excitation,SSRF pulse; spatial-spectral radiofrequency pulse,
RID10715,tagging pulse,,,
RID10716,motion-encoding gradient,a gradient lobe or set of lobes designed to encode motion or flow,,
RID10718,flow-sensitizing gradient,,,
RID10719,velocity-encoding gradient,,,
RID10720,bipolar gradient,,,
RID10721,acceleration-encoding gradient,,,
RID10722,diffusion weighting,Signal attenuation by additional gradients that induce a signal dephasing for diffusing spins,,
RID10723,cyclic encoding gradient,,,
RID10724,gradient moment nulling,compensation of a gradient moment to avoid phase accumulation from flow or motion,flow compensation; gradient moment rephasing,
RID10727,spin lock,T1 rho ??contrast by additional RF pulses,,
RID10728,refocusing of all gradients,Refocusing of all gradients within one TR interval (balanced steady state free precession),balanced SSFP; balanced steady state free precession,
RID10731,refocusing of selected gradients within one TR interval,,,
RID10732,refocusing of the gradients in a subsequent TR interval,Refocusing of the gradients so that a (spin) echo is acquired in the next TR interval,,
RID10733,spoiling of transverse magnetization,,spoiling,
RID10735,radiofrequency spoiling,,RF spoiling,
RID10737,gradient spoiling,,,
RID10738,MR echo type,,,
RID10739,gradient echo,,,
RID10740,conventional gradient echo,,,
RID10741,fast gradient echo,,,
RID10742,gradient and spin echo,,GRASE,
RID10744,echo planar,,EPI,
RID10746,spin echo,,Hahn echo; RF spin echo,
RID10749,fast-spin echo,,FSE; RARE; TSE; echo-train spin-echo; rapid acquisition with relaxation enhancement; turbo-spin echo,
RID10756,conventional spin echo,,,
RID10757,k-space trajectory,,,
RID10758,Cartesian k-space trajectory,,,
RID10759,sequential k-space trajectory,,,
RID10760,echo planar k-space trajectory,,,
RID10761,centric k-space trajectory,,,
RID10762,reverse centric k-space trajectory,,,
RID10763,elliptical centric k-space trajectory,,,
RID10764,recessed elliptical centric k-space trajectory,,,
RID10765,reversed elliptical centric k-space trajectory,,,
RID10766,non-Cartesian k-space trajectory,,,
RID10767,radial k-space trajectory,,projection acquisition; projection reconstruction,
RID10770,stack of stars k-space trajectory,,stack of projections,
RID10772,VIPR k-space trajectory,,,
RID10773,spiral k-space trajectory,,,
RID10774,stack of spirals k-space trajectory,,,
RID10775,rings k-space trajectory,,,
RID10776,cones k-space trajectory,,,
RID10777,shells k-space trajectory,,,
RID10778,hybrid k-space trajectory,,,
RID10779,PROPELLER,,BLADE; periodically rotated overlapping parallel lines with enhanced reconstruction,
RID10782,k-space segmentation,,,
RID10783,k-space unsegmented,,k-space un-segmented,
RID10784,k-space segmented,,,
RID10785,k-space filter,,,
RID10786,radial filter,,,
RID10787,anti-ringing filter,,anti ringing filter; antiringing filter,
RID10788,elliptical filter,,,
RID10789,Fermi filter,,,
RID10790,separable filter,,,
RID10791,MR tissue contrast attribute,,,
RID10792,intermediate weighted,,proton density weighted,
RID10794,T1 weighted,,T1W,
RID10795,T2 weighted,,T2W,
RID10796,T2* weighted,,T2 star; T2-star weighted,
RID10798,T2/T1 weighted,,,
RID10799,diffusion weighted,Assessment of the random Brownian motion of water molecules within the voxel.,,
RID10801,flexible coil,,flexible surface coil,
RID10803,multinuclear coil,"radiofrequency coil tuned to multiple frequencies, capable of transmitting and/or detecting signals from more than 1 nucleus",dual tuned coil,
RID10805,biopsy coil,receiver coil that has been modified to allow for MRI directed biopsies or percutaneous interventions,,
RID10806,microscopy coil,a small field of view localized coil generally a moveable component of a larger phased array coil that can be positioned to obtain high resolution images of a subregion of the anatomy,,
RID10807,internally inserted coil,,,
RID10808,endoluminal coil,,,
RID10809,endorectal coil,,rectal coil,
RID10810,endovascular coil,,catheter coil,
RID10812,interventional coil,coil that may be inserted into the body via a percutaneous route,,
RID10813,magnetic resonance imaging coil,,MR coil; MR imaging coil; MRI coil,
RID10815,radiofrequency coil,,RF coil,
RID10817,,,,
RID10818,,,,
RID10819,,,,
RID10820,transmit-receive radiofrequency coil,,,
RID10821,primary transmit-receive coil,,body coil; whole body RF coil,
RID10824,transmit radiofrequency coil,,transmit RF coil,
RID10826,localized transmit coil,localized transmit only coil,,
RID10827,,,,
RID10830,receive radiofrequency coil,,,
RID10831,localized receive coil,localized receive only coil,,
RID10832,,,,
RID10835,functional magnetic resonance imaging coil,Coil that has been designed or modified to allow for integration of stimulation and detection apparatus used in functional MRI examinations,fMRI coil; functional MRI coil,
RID10838,tracker coil,RF coil used for real-time localization of the position of a body part for CINE MRI examinations,,
RID10839,gradient coil,,,
RID10840,whole body gradient coil,,,
RID10841,restricted field of view body gradient coil,,zoom gradient coil,
RID10843,localized gradient coil,,,
RID10844,shim coil,,,
RID10845,resistive shim coil,,,
RID10846,superconducting shim coil,,,
RID10847,non-linear shim coil,,high-order shim coil,
RID10849,linear shim coil,,,
RID10850,linear resistive shim coil,,,
RID10852,,,,
RID10853,,,,
RID10854,curved transducer,,,
RID10855,linear transducer,,flat transducer,
RID10857,ultrasound transducer element configuration,,,
RID10858,1 dimensional element configuration,,1D element configuration,
RID10860,1.5 dimensional element configuration,,1.5D element configuration,
RID10862,symmetric 2 dimensional element configuration,,symmetric 2D element configuration,
RID10864,asymmetric 2 dimensional element configuration,,asymmetric 2D element configuration,
RID10866,annular element configuration,,,
RID10867,ultrasound transducer,,,
RID10868,mechanical transducer,,,
RID10869,intravascular rotating crystal transducer,,,
RID10870,intravascular rotating mirror transducer,,,
RID10871,sector mechanical transducer,,,
RID10872,sector annular array transducer,,,
RID10873,endocavitary mechanical transducer,,,
RID10874,endocavitary annular array transducer,,,
RID10875,non-mechanical transducer,,,
RID10876,sector phased array transducer,,,
RID10877,linear array transducer,,,
RID10879,intravascular phased array transducer,,,
RID10880,endocavitary phased array transducer,,,
RID10881,endocavitary curved linear array transducer,,,
RID10882,endocavitary linear transducer,,,
RID10883,vector phased array transducer,,,
RID10884,single crystal transducer,,,
RID10885,split crystal transducer,,,
RID10886,combined transducer,,,
RID10887,curved linear array transducer,,curved linear transducer,
RID10888,sector phased transducer,,,
RID10889,endocavitary transducer,,,
RID10890,endorectal transducer,,,
RID10891,endovaginal transducer,,transvaginal transducer,
RID10893,endovascular transducer,,intravascular transducer,
RID10895,transesophageal transducer,,,
RID10896,endoscopic transducer,,,
RID10897,curved array transducer,,,
RID10898,phased array transducer,,vector transducer,
RID10900,mechanical sector transducer,,mechanical sector; sector mechanical transducer,
RID10901,annular transducer,,,
RID10902,,,,
RID10903,A-mode ultrasound,,,
RID10904,B-mode ultrasound,,gray scale ultrasound; grayscale ultrasound,
RID10907,C-mode ultrasound,,,
RID10908,Doppler mode,,,
RID10909,color Doppler mode,,,
RID10910,power Doppler mode,,,
RID10911,spectral Doppler mode,,pulsed wave Doppler mode,
RID10913,harmonic ultrasound,,,
RID10914,phase-cancellation harmonic ultrasound,,,
RID10915,M-mode,,m mode,
RID10916,stimulated acoustic emission,,SAE,
RID10918,low intensity pulse,,,
RID10919,high intensity pulse,,,
RID10920,three dimensional ultrasound,,3 dimensional ultrasound; 3D ultrasound,
RID10922,duplex ultrasound,,,
RID10923,triplex ultrasound,,,
RID10924,extended field of view ultrasound,,,
RID10926,4 dimensional ultrasound,,4D ultrasound,
RID10928,cine loop,,cine; video loop,
RID10930,volume imaging,,,
RID10931,,,,
RID10932,elastography,,elasticity imaging,
RID10933,strain imaging,,,
RID10934,nuclear imaging attribute,,,
RID10935,collimator,,,
RID10936,pinhole collimator,,,
RID10937,multihole collimator,,,
RID10938,stationary multi-channel,,,
RID10939,seven-pinhole collimator,,,
RID10940,rotating slant hole collimator,,,
RID10941,xray collimator,,x-ray collimator,
RID10942,nuclear collimator geometry,,,
RID10943,parallel hole collimator,,,
RID10944,low energy parallel hole collimator,,,
RID10945,low energy parallel hole ultra-high resolution,,,
RID10946,low energy parallel hole high-resolution,,,
RID10947,low energy parallel hole general purpose,,,
RID10948,low energy parallel hole high sensitivity,,,
RID10949,medium energy parallel hole collimator,,,
RID10950,medium energy parallel hole high-resolution,,,
RID10951,medium energy parallel hole general purpose,,,
RID10952,high energy parallel hole collimator,,,
RID10953,ultra-high energy parallel hole collimator,,,
RID10954,diverging collimator,,,
RID10955,converging collimator,,,
RID10956,ring collimator,,,
RID10957,nuclear imaging acquisition rate,,,
RID10958,dynamic nuclear imaging acquisition,serial images of the same anatomic region; in nuclear medicine there is usually no gap between acquisitions,,
RID10959,serial nuclear imaging acquisition,"in nuclear medicine, serial images of the same anatomic region with a gap between images",,
RID10960,static nuclear imaging acquisition,,,
RID10961,gated nuclear imaging acquisition,"in nuclear, using an external trigger to synchronize imaging acquisition, such as ECG, respiration",,
RID10962,nuclear camera,,,
RID10963,positron emission tomography camera,,PET camera,
RID10965,gamma camera,Electronic instruments that produce photographs or cathode-ray tube images of the gamma-ray emissions from organs containing radionuclide tracers. [MeSH],scintillation camera; single photon camera,
RID10968,nuclear detector quantity,,,
RID10969,single detector,,,
RID10970,multi-detector,,multidetector,
RID10971,nuclear solid state detector material,,,
RID10972,cadmium telluride,,,
RID10973,cadmium zinc telluride,,CZT,
RID10975,cadmium iodide,,,
RID10976,nuclear detector geometry type,,,
RID10977,planar nuclear detector,,,
RID10978,full ring nuclear detector,,,
RID10979,partial ring nuclear detector,,,
RID10980,rotating 2D columns nuclear detector,,,
RID10981,hybrid nuclear detector,gamma camera crystal with coincidence circuitry,,
RID10982,nuclear diode,,,
RID10983,PIN diode,p/n junction diode with expanded intrinsic region,,
RID10984,avalanche diode,,,
RID10985,silicon drift diode,,,
RID10986,cross-sectional attenuation correction method,,,
RID10987,CT attenuation correction,,,
RID10988,MR attenuation correction,,,
RID10989,radioactive source attenuation correction,,transmission scan source attenuation correction,
RID10991,Gd scanning line source attenuation correction,,,
RID10992,Ge rod source attenuation correction,,,
RID10993,Cs rod source attenuation correction,,,
RID10994,nuclear crystal detector material,,,
RID10995,BGO,,bismuth germinate,
RID10997,LSO,,lutetium ortho-oxysilicate,
RID10999,LYSO,,lutetium yttrium oxyortho silicate,
RID11,exemplary quality,"Good, most adequate for diagnostic purposes",,
RID11001,GSO,,gadolinium oxyorthosilicate,
RID11003,NaI,"A compound forming white, odorless deliquescent crystals and used as iodine supplement, expectorant or in its radioactive (I-131) form as an diagnostic aid, particularly for thyroid function tests. [MeSH]",sodium iodide,
RID11005,interventional procedure attribute,,,
RID11006,anesthesia,,,
