loinc_number,long_common_name,short_name,modality,anatomic_location,synonyms_count,top_synonyms
103253-1,XR Knee - bilateral GE 4 Views,XR Knee-Bl GE 4V,XR,Lower extremity; True; Bilateral,28,Bil; Bilat; Both; Document; EXT
103254-9,XR Thoracic and lumbar spine Views 2 or 3 for scoliosis,XR T+L-Spine 2V or 3V for Scoli,XR,Chest; Abdomen,36,2V; 2V or 3V; 2V or 3V for Scoli; 2VW; Abd
103255-6,XR Lumbar spine 4 or 5 Views,XR L-spine 4V or 5V,XR,Abdomen,26,4V; 4V or 5V; 4VW; Abd; Abdo
103256-4,XR Chest and Abdomen 2 Views,XR Chest+Abd 2V,XR,Chest; Abdomen,23,2V; 2VW; Abd; Abdo; Abdomen+
103257-2,XR Shoulder - bilateral GE 3 Views,XR Shoulder-Bl GE 3V,XR,Upper extremity; True; Bilateral,27,Arm; Bil; Bilat; Both; Document
103258-0,XR Pelvis and Hip - right Single view,XR Pelvis and Hip-R 1V,XR,Pelvis; Lower extremity; True; Right,29,1V; Document; EXT; Extr-R; Film
103259-8,XR Shoulder - left GE 3 Views,XR Should-L GE 3V,XR,Upper extremity; True; Left,27,Arm; Document; EXT; Extr-L; Films
103260-6,XR Spine Lumbar and Sacrum Views W right bending and W left bending,XR L-spine+Sacrum Views W R+L-bending,XR,Abdomen; Pelvis,36,Abd; Abdo; Abdomen+; Abdominal; Document
103261-4,XR Shoulder - bilateral GE 2 Views,XR Shoulder-Bl GE 2V,XR,Upper extremity; True; Bilateral,27,Arm; Bil; Bilat; Both; Document
103262-2,XR Calcaneus - right GE 2 Views,XR Heel-R GE 2V,XR,Lower extremity; True; Right,30,Calcaneous; Document; EXT; Extr-R; Films
103263-0,XR Spine Lumbar and Sacrum 2 or 3 Views W right bending and W left bending,XR L-spine+Sacrum 2V or 3V W R+L-bending,XR,Abdomen; Pelvis,41,2V; 2V or 3V; 2VW; Abd; Abdo
103264-8,XR Calcaneus - left GE 2 Views,XR Heel-L GE 2V,XR,Lower extremity; True; Left,30,Calcaneous; Document; EXT; Extr-L; Films
103265-5,XR Pelvis and Hip - bilateral GE 5 Views,XR Pelvis and Hip-Bl GE 5V,XR,Pelvis; Lower extremity; True; Bilateral,32,Bil; Bilat; Both; Document; EXT
103266-3,XR Pelvis and Hip - bilateral 3 or 4 Views,XR Pelvis and Hip-Bl 3V or 4V,XR,Pelvis; Lower extremity; True; Bilateral,34,3V; 3V or 4V; 3VW; Bil; Bilat
103267-1,XR Hip - bilateral 3 or 4 Views,XR Hip-Bl 3V or 4V,XR,Lower extremity; True; Bilateral,29,3V; 3V or 4V; 3VW; Bil; Bilat
103268-9,XR Spine thoracolumbar junction GE 2 Views,XR TLJ GE 2V,XR,Chest; Abdomen,27,Abd; Abdo; Abdomen+; Abdominal; Chest + Abd
103269-7,XR Thoracic spine GE 4 Views,XR T-spine GE 4V,XR,Chest,22,CXR; Document; Dorsal spine; Films; Finding
103270-5,XR Pelvis and Hip - left Single view,XR Pelvis and Hip-L 1V,XR,Pelvis; Lower extremity; True; Left,29,1V; Document; EXT; Extr-L; Film
103271-3,XR Hip 2 or 3 Views,XR Hip 2V or 3V,XR,Lower extremity; Unspecified; True,23,2V; 2V or 3V; 2VW; Document; EXT
103272-1,XR Pelvis and Hip - right GE 2 Views,XR Pelvis and Hip-R GE 2V,XR,Pelvis; Lower extremity; True; Right,31,Document; EXT; Extr-R; Films; Finding
103273-9,XR Abdomen Greater than 2 views and upright and lateral-decubitus,XR Abd GE 2V+upright+lat decub,XR,Abdomen,25,Abd; Abdo; Abdomen+; Abdominal; Document
103274-7,XR Pelvis and Hip - bilateral View AP and Views 3 or 4,XR Pelvis and Hip-Bl AP + 3V or 4V,XR,Pelvis; Lower extremity; True; Bilateral,42,1V; 3V; 3V or 4V; 3VW; Anterio-Posterior
103275-4,Portable XR Chest 2 Views,XR port Chest 2V,XR,Chest,19,2V; 2VW; CXR; Document; Films
103276-2,XR Thumb - right GE 2 Views,XR Thumb-R GE 2V,XR,Upper extremity; True; Right,26,Arm; Document; EXT; Extr-R; Films
103277-0,XR Ribs - left and Chest 2 Views and PA,XR Ribs-L + Chest 2V + PA,XR,Chest; True; Left,30,1V; 2V; 2V + 1V; 2V + PA; 2VW
103278-8,XR Thumb - left GE 2 Views,XR Thumb-L GE 2V,XR,Upper extremity; True; Left,26,Arm; Document; EXT; Extr-L; Films
103279-6,XR Pelvis and Hip - bilateral GE 2 Views,XR Pelvis and Hip-Bl GE 2V,XR,Pelvis; Lower extremity; True; Bilateral,33,Bil; Bilat; Both; Document; EXT
103280-4,XR Ribs - right and Chest 2 Views and PA,XR Ribs-R + Chest 2V + PA,XR,Chest; True; Right,30,1V; 2V; 2V + 1V; 2V + PA; 2VW
103281-2,Portable XR Chest and Abdomen Views,XR port Chest+Abd Views,XR,Chest; Abdomen,21,Abd; Abdo; Abdomen+; Abdominal; Chest + Abd
103282-0,XR Abdomen View AP and oblique and cone,XR Abd AP+oblique+cone,XR,Abdomen,25,Abd; Abdo; Abdomen+; Abdominal; Anterio-Posterior
103283-8,XR Wrist - right 3 or 4 Views,XR Wrist-R 3V or 4V,XR,Upper extremity; True; Right,31,3V; 3V or 4V; 3VW; Arm; Carpal bone
103284-6,Portable XR Abdomen 2 Views,XR port Abd 2V,XR,Abdomen,21,2V; 2VW; Abd; Abdo; Abdomen+
103285-3,XR Wrist - right Greater than 3 views scaphoid,XR Wrist-R GE 3V Scaphoid,XR,Upper extremity; True; Right,32,Arm; Carpal bone; Carpal bones; Carpal bones and joint; Document
103286-1,XR Pelvis and Hip - left GE 4 Views,XR Pelvis and Hip-L GE 4V,XR,Pelvis; Lower extremity; True; Left,30,Document; EXT; Extr-L; Films; Finding
103287-9,XR Wrist - left 3 or 4 Views,XR Wrist-L 3V or 4V,XR,Upper extremity; True; Left,31,3V; 3V or 4V; 3VW; Arm; Carpal bone
103288-7,XR Finger fifth - right GE 2 Views,XR Finger.5th-R GE 2V,XR,Upper extremity; True; Right,28,5th; Arm; Document; EXT; Extr-R
103289-5,Portable XR Hip - right Single view,XR port Hip-R 1V,XR,Lower extremity; True; Right,26,1V; Document; EXT; Extr-R; Film
103290-3,XR Finger third - right GE 2 Views,XR Finger.3rd-R GE 2V,XR,Upper extremity; True; Right,28,3rd; Arm; Document; EXT; Extr-R
103291-1,XR Finger second - left GE 2 Views,XR Finger.2nd-L GE 2V,XR,Upper extremity; True; Left,28,2nd; Arm; Document; EXT; Extr-L
103292-9,XR Ribs - left and Chest 2 Views and Single view,XR Ribs-L + Chest 2V + 1V,XR,Chest; True; Left,28,1V; 2V; 2V + 1V; 2VW; CXR
103293-7,XR Finger second - right GE 2 Views,XR Finger.2nd-R GE 2V,XR,Upper extremity; True; Right,28,2nd; Arm; Document; EXT; Extr-R
103294-5,XR Chest and Abdomen View and View 2,XR Chest+Abd View + 2V,XR,Chest; Abdomen,28,1V; 2V; 2VW; Abd; Abdo
103295-2,XR Knee - bilateral Single view W standing,XR Knee-Bl 1V W Stand,XR,Lower extremity; True; Bilateral,30,1V; Bil; Bilat; Both; Document
103296-0,XR Finger third - left GE 2 Views,XR Finger.3rd-L GE 2V,XR,Upper extremity; True; Left,28,3rd; Arm; Document; EXT; Extr-L
103297-8,XR Cervical spine GE 3 Views,XR C-spine GE 3V,XR,Neck,21,C/sp; Cerv; C-spine; Document; Films
103298-6,XR Pelvis and Hip - right GE 4 Views,XR Pelvis and Hip-R GE 4V,XR,Pelvis; Lower extremity; True; Right,30,Document; EXT; Extr-R; Films; Finding
103299-4,XR Ribs - right and Chest 2 Views and Single view,XR Ribs-R + Chest 2V + 1V,XR,Chest; True; Right,28,1V; 2V; 2V + 1V; 2VW; CXR
103300-0,XR Pelvis and Hip - left GE 2 Views,XR Pelvis and Hip-L GE 2V,XR,Pelvis; Lower extremity; True; Left,31,Document; EXT; Extr-L; Films; Finding
103301-8,XR Abdomen GE 2 Views,XR Abd GE 2V,XR,Abdomen,20,Abd; Abdo; Abdomen+; Abdominal; Document
103302-6,XR Wrist - left Greater than 3 views scaphoid,XR Wrist-L GE 3V Scaphoid,XR,Upper extremity; True; Left,32,Arm; Carpal bone; Carpal bones; Carpal bones and joint; Document
103303-4,XR Pelvis and Hip - bilateral AP and Views,XR Pelvis and Hip-Bl AP + Views,XR,Pelvis; Lower extremity; True; Bilateral,37,1V; Anterio-Posterior; Anteroposterior; AP + Views; Bil
103304-2,XR Lumbar spine GE 4 Views W right bending and W left bending,XR L-spine GE 4V W R+L-bending,XR,Abdomen,34,Abd; Abdo; Abdomen+; Abdominal; Document
103305-9,XR Finger fourth - left GE 2 Views,XR Finger.4th-L GE 2V,XR,Upper extremity; True; Left,28,4th; Arm; Document; EXT; Extr-L
103306-7,XR Toes - bilateral GE 2 Views,XR Toes-Bl GE 2V,XR,Lower extremity; True; Bilateral,31,Bil; Bilat; Both; Distal metatarsals; Document
103307-5,XR Lumbar spine 2 Views W flexion and W extension,XR L-spine 2V W FE,XR,Abdomen,29,2V; 2VW; Abd; Abdo; Abdomen+
103308-3,XR Finger fifth - left GE 2 Views,XR Finger.5th-L GE 2V,XR,Upper extremity; True; Left,28,5th; Arm; Document; EXT; Extr-L
103309-1,XR Finger fourth - right GE 2 Views,XR Finger.4th-R GE 2V,XR,Upper extremity; True; Right,28,4th; Arm; Document; EXT; Extr-R
103310-9,XR Spine Lumbar and Sacrum Single view,XR L-spine+Sacrum 1V,XR,Abdomen; Pelvis,28,1V; Abd; Abdo; Abdomen+; Abdominal
103311-7,XR Hip - bilateral GE 2 Views,XR Hip-Bl GE 2V,XR,Lower extremity; True; Bilateral,28,Bil; Bilat; Both; Document; EXT
103312-5,XR Ribs - bilateral and Chest Greater than 4 views and View PA,XR Ribs-Bl + Chest GE 4V + PA,XR,Chest; True; Bilateral,29,1V; Bil; Bilat; Both; CXR
103313-3,XR Thoracic spine GE 2 Views,XR T-spine GE 2V,XR,Chest,23,CXR; Document; Dorsal spine; Films; Finding
103314-1,XR Kidney - right Views W contrast R-retrograde,XR Kidney-R Views W contr R-Retro,XR,True; Abdomen; Right,36,Abd; Abdo; Abdomen+; Abdominal; c
103315-8,XR Spine Lumbar and Sacrum AP and Lateral,XR L-spine+Sacrum AP+Lat,XR,Abdomen; Pelvis,35,Abd; Abdo; Abdomen+; Abdominal; Anterio-Posterior
103316-6,XR Lumbar spine 4 Views W flexion and W extension,XR L-spine 4V W FE,XR,Abdomen,28,4V; 4VW; Abd; Abdo; Abdomen+
103317-4,XR Pelvis and Hip - left AP and Views,XR Pelvis + Hip-L AP + Views,XR,Pelvis; Lower extremity; True; Left,35,1V; Anterio-Posterior; Anteroposterior; AP + Views; Document
103318-2,XR Pelvis and Hip - left AP and GE 2 Views,XR Pelvis and Hip-L AP + GE 2V,XR,Pelvis; Lower extremity; True; Left,39,1V; Anterio-Posterior; Anteroposterior; AP + GE 2V; AP + Views
103319-0,XR Foot - bilateral Single view,XR Foot-Bl 1V,XR,Lower extremity; True; Bilateral,26,1V; Bil; Bilat; Both; Document
103320-8,XR Pelvis and Hip - right AP and Views,XR Pelvis + Hip-R AP + Views,XR,Pelvis; Lower extremity; True; Right,35,1V; Anterio-Posterior; Anteroposterior; AP + Views; Document
103321-6,XR Hip - right GE 4 Views,XR Hip-R GE 4V,XR,Lower extremity; True; Right,26,Document; EXT; Extr-R; Films; Finding
103322-4,XR Lumbar spine 2 or 3 Views W right bending and W left bending,XR L-spine 2V or 3V W R+L-bending,XR,Abdomen,37,2V; 2V or 3V; 2VW; Abd; Abdo
103323-2,XR Ankle - left 4 Views,XR Ankle-L 4V,XR,Lower extremity; True; Left,26,4V; 4VW; Ankle-L; Document; EXT
103324-0,XR Pelvis and Hip - right AP and GE 2 Views,XR Pelvis and Hip-R AP + GE 2V,XR,Pelvis; Lower extremity; True; Right,39,1V; Anterio-Posterior; Anteroposterior; AP + GE 2V; AP + Views
103325-7,XR Lumbar spine GE 6 Views W right bending and W left bending,XR L-spine GE 6V W R+L-bending,XR,Abdomen,34,Abd; Abdo; Abdomen+; Abdominal; Document
103326-5,XR Abdomen 4 Views,XR Abd 4V,XR,Abdomen,19,4V; 4VW; Abd; Abdo; Abdomen+
103327-3,XR Femur - bilateral GE 2 Views,XR Femur-Bl GE 2V,XR,Lower extremity; True; Bilateral,29,Bil; Bilat; Both; Document; EXT
103328-1,XR Ribs - left and Chest Views 3 and View PA,XR Ribs-L + Chest 3V + PA,XR,Chest; True; Left,30,1V; 3V; 3V + PA; 3V + View; 3VW
103329-9,XR Kidney - left Views W contrast L-retrograde,XR Kidney-L Views W contr L-Retro,XR,True; Abdomen; Left,36,Abd; Abdo; Abdomen+; Abdominal; c
103330-7,Portable XR Hip - left Single view,XR port Hip-L 1V,XR,Lower extremity; True; Left,26,1V; Document; EXT; Extr-L; Film
103331-5,XR Pelvis and Hip - right 3 Views,XR Pelvis and Hip-R 3V,XR,Pelvis; Lower extremity; True; Right,31,3V; 3VW; Document; EXT; Extr-R
103332-3,XR Ribs - right and Chest Views 3 and View PA,XR Ribs-R + Chest 3V + PA,XR,Chest; True; Right,30,1V; 3V; 3V + PA; 3V + View; 3VW
103333-1,XR Pelvis and Hip - left 3 Views,XR Pelvis and Hip-L 3V,XR,Pelvis; Lower extremity; True; Left,31,3V; 3VW; Document; EXT; Extr-L
103334-9,XR Pelvis and Hip - bilateral Single view,XR Pelvis and Hip-Bl 1V,XR,Pelvis; Lower extremity; True; Bilateral,31,1V; Bil; Bilat; Both; Document
103335-6,XR Thoracic and lumbar spine 2 Views for scoliosis W standing,XR T+L-Spine 2V for scoli W Stand,XR,Chest; Abdomen,37,2V; 2V for scoli; 2VW; Abd; Abdo
103336-4,XR Humerus - bilateral GE 2 Views,XR Humerus-Bl GE 2V,XR,Upper extremity; True; Bilateral,27,Arm; Bil; Bilat; Both; Document
103337-2,XR Cervical spine 4 or 5 Views W flexion and W extension,XR C-spine 4V or 5V W FE,XR,Neck,24,4V; 4V or 5V; 4VW; C/sp; Cerv
103338-0,XR Hip - left GE 4 Views,XR Hip-L GE 4V,XR,Lower extremity; True; Left,26,Document; EXT; Extr-L; Films; Finding
103339-8,XR Toe fourth - left GE 2 Views,XR Toe 4th-L GE 2V,XR,Lower extremity; True; Left,30,4th; 4th toe; Document; EXT; Extr-L
103340-6,XR Lower extremity - right GE 2 Views,XR LE-R GE 2V,XR,Lower extremity; True; Right,25,Document; EXT; Extr-R; Films; Finding
103341-4,XR Femur - bilateral Single view,XR Femur-Bl 1V,XR,Lower extremity; True; Bilateral,27,1V; Bil; Bilat; Both; Document
103342-2,XR Knee - bilateral GE 3 Views,XR Knee-Bl GE 3V,XR,Lower extremity; True; Bilateral,29,Bil; Bilat; Both; Document; EXT
103343-0,XR Lower extremity - left GE 2 Views,XR LE-L GE 2V,XR,Lower extremity; True; Left,25,Document; EXT; Extr-L; Films; Finding
103344-8,XR Toe fifth - left GE 2 Views,XR Toe 5th-L GE 2V,XR,Lower extremity; True; Left,30,5th; 5th toe; Document; EXT; Extr-L
103345-5,XR Calcaneus - bilateral GE 2 Views,XR Heel-Bl GE 2V,XR,Lower extremity; True; Bilateral,32,Bil; Bilat; Both; Calcanei; Calcaneous
103346-3,XR Thoracic and lumbar spine Views 4 or 5 for scoliosis,XR T+L-Spine 4V or 5V for Scoli,XR,Chest; Abdomen,34,4V; 4V or 5V; 4V or 5V for Scoli; 4VW; Abd
103347-1,Portable XR Ankle - right 2 Views,XR port Ankle-R 2V,XR,Lower extremity; True; Right,28,2V; 2VW; Ankle-R; Document; EXT
103348-9,XR Pelvis and Hip - bilateral 5 Views,XR Pelvis and Hip-Bl 5V,XR,Pelvis; Lower extremity; True; Bilateral,32,5V; 5VW; Bil; Bilat; Both
103349-7,XR Spine 4 or 5 Views,XR Spine 4V or 5V,XR,XXX,24,4V; 4V or 5V; 4VW; Document; Films
103350-5,XR Tibia and Fibula - left 3 Views,XR Tib+Fib-L 3V,XR,Lower extremity; True; Left,27,3V; 3VW; Document; EXT; Extr-L
103351-3,XR Lumbar spine 4 Views W right bending and W left bending,XR L-spine 4V W R+L-bending,XR,Abdomen,34,4V; 4VW; Abd; Abdo; Abdomen+
103352-1,XR Hip - bilateral GE 5 Views,XR Hip-Bl GE 5V,XR,Lower extremity; True; Bilateral,27,Bil; Bilat; Both; Document; EXT
103353-9,XR Cervical spine 6 Views W flexion and W extension,XR C-spine 6V W FE,XR,Neck,22,6V; C/sp; Cerv; C-spine; Document
103354-7,XR Tibia and Fibula - right 3 Views,XR Tib+Fib-R 3V,XR,Lower extremity; True; Right,27,3V; 3VW; Document; EXT; Extr-R
103355-4,XR Ribs - bilateral and Chest Views 3 and View,XR Ribs-Bl + Chest 3V + View,XR,Chest; True; Bilateral,29,1V; 3V; 3V + View; 3VW; Bil
103356-2,XR Ribs - right and Chest Views,XR Ribs-R + Chest Views,XR,Chest; True; Right,20,CXR; Document; Films; Finding; Findings
103357-0,Portable XR Tibia and Fibula - left 2 Views,XR port Tib+Fib-L 2V,XR,Lower extremity; True; Left,28,2V; 2VW; Document; EXT; Extr-L
103358-8,Portable XR Tibia and Fibula - right 2 Views,XR port Tib+Fib-R 2V,XR,Lower extremity; True; Right,28,2V; 2VW; Document; EXT; Extr-R
103359-6,XR Pelvis View AP and Views 1 or 2,XR Pelvis AP + 1V or 2V,XR,Pelvis,22,Anterio-Posterior; Anteroposterior; AP + 1V or 2V; Document; Films
103360-4,XR Clavicle - left GE 2 Views,XR Clavicle-L GE 2V,XR,Chest; True; Left,22,Clavicle-L; CXR; Document; Films; Finding
103361-2,XR Tibia and Fibula - bilateral Single view,XR Tib+Fib-Bl 1V,XR,Lower extremity; True; Bilateral,25,1V; Bil; Bilat; Both; Document
103362-0,Portable XR Shoulder - right Single view,XR port Should-R 1V,XR,Upper extremity; True; Right,26,1V; Arm; Document; EXT; Extr-R
103363-8,Portable XR Ankle - left 2 Views,XR port Ankle-L 2V,XR,Lower extremity; True; Left,28,2V; 2VW; Ankle-L; Document; EXT
103364-6,XR Upper extremity - right GE 2 Views,XR UE-R GE 2V,XR,Upper extremity; True; Right,25,Arm; Document; EXT; Extr-R; Films
103365-3,XR Scapula - left GE 2 Views,XR Scapula-L GE 2V,XR,Chest; True; Left,22,CXR; Document; Films; Finding; Findings
103366-1,Portable XR Shoulder - left Single view,XR port Should-L 1V,XR,Upper extremity; True; Left,26,1V; Arm; Document; EXT; Extr-L
103367-9,XR Scapula - right GE 2 Views,XR Scapula-R GE 2V,XR,Chest; True; Right,22,CXR; Document; Films; Finding; Findings
103368-7,XR Clavicle - right GE 2 Views,XR Clavicle-R GE 2V,XR,Chest; True; Right,22,Clavicle-R; CXR; Document; Films; Finding
103369-5,XR Lumbar spine 2 or 3 Views W flexion and W extension,XR L-spine 2V or 3V W FE,XR,Abdomen,31,2V; 2V or 3V; 2VW; Abd; Abdo
103370-3,XR Mandible - bilateral Single view,XR Mandible-Bl 1V,XR,True; Bilateral; Head,25,1V; Bil; Bilat; Both; Brain
103371-1,XR Hand - bilateral Single view,XR Hand-Bl 1V,XR,Upper extremity; True; Bilateral,26,1V; Arm; Bil; Bilat; Both
103372-9,XR Ribs - left and Chest 2 Views,XR Ribs-L + Chest 2V,XR,Chest; True; Left,23,2V; 2VW; CXR; Document; Films
103373-7,XR Kidney - left Views W contrast L-antegrade,XR Kidney-L Views W contr L-Ante,XR,True; Abdomen; Left,35,Abd; Abdo; Abdomen+; Abdominal; c
103374-5,XR Radius and Ulna - left 3 Views,XR Radius+Ulna-L 3V,XR,Upper extremity; True; Left,28,3V; 3VW; Arm; Document; EXT
103375-2,XR Spine Lumbar and Sacrum 4 Views W right bending and W left bending,XR L-spine+Sacrum 4V W R+L-bending,XR,Abdomen; Pelvis,38,4V; 4VW; Abd; Abdo; Abdomen+
103376-0,Portable XR Thoracic spine 2 Views,XR port T-spine 2V,XR,Chest,24,2V; 2VW; CXR; Document; Dorsal spine
103377-8,XR Upper extremity - left GE 2 Views,XR UE-L GE 2V,XR,Upper extremity; True; Left,25,Arm; Document; EXT; Extr-L; Films
103378-6,XR Radius and Ulna - right 3 Views,XR Radius+Ulna-R 3V,XR,Upper extremity; True; Right,27,3V; 3VW; Arm; Document; EXT
103379-4,XR Chest Views PA and lateral and L-lateral-decubitus and R-lateral-decubitus,XR Chest PA+Lat+L Lat Decub+R Lat Decub,XR,Chest,24,CXR; Document; Films; Finding; Findings
103380-2,XR Toe third - left GE 2 Views,XR Toe 3rd-L GE 2V,XR,Lower extremity; True; Left,30,3rd; 3rd toe; Document; EXT; Extr-L
103381-0,XR Ankle - right 4 Views,XR Ankle-R 4V,XR,Lower extremity; True; Right,26,4V; 4VW; Ankle-R; Document; EXT
103382-8,Portable XR Radius and Ulna - left Single view,XR port Radius+Ulna-L 1V,XR,Upper extremity; True; Left,27,1V; Arm; Document; EXT; Extr-L
103383-6,Portable XR Humerus - left 2 Views,XR port Humerus-L 2V,XR,Upper extremity; True; Left,28,2V; 2VW; Arm; Document; EXT
103384-4,XR Toe second - left GE 2 Views,XR Toe 2nd-L GE 2V,XR,Lower extremity; True; Left,30,2nd; 2nd toe; Document; EXT; Extr-L
103385-1,Portable XR Radius and Ulna - right Single view,XR port Radius+Ulna-R 1V,XR,Upper extremity; True; Right,26,1V; Arm; Document; EXT; Extr-R
103386-9,Portable XR Foot - left Single view,XR port Foot-L 1V,XR,Lower extremity; True; Left,26,1V; Document; EXT; Extr-L; Film
