pmid,title,journal,year,abstract,text_length
40956160,False-Positive Recall and False-Positive Biopsy Rates in Mammography Screening: A TOSYMA Trial Subanalysis.,Radiology,2025,"Background False-positive results may negatively affect participants and diminish the efficiency of mammography screening programs. Purpose To assess whether the higher breast cancer detection rate with digital breast tomosynthesis (DBT) plus synthesized mammography (SM) compared with digital mammography (DM) in the randomized TOmosynthesis plus SYnthesized MAmmography (TOSYMA) trial comes with higher false-positive rates. Materials and Methods The TOSYMA trial was conducted from July 2018 to December 2020 in women aged 50-70 years (mean age, 57.7 years ± 5.6 [SD]), with 1:1 allocation to the DBT plus SM or DM study arm (NCT03377036). True- and false-positive recall rates, false-positive biopsy rates, and positive predictive values of recalls and biopsies performed were compared per arm. Women with false-positive findings were followed up for 24 months. The analyses were strictly exploratory. Results There were 49 762 women in the DM arm and 49 715 in the DBT plus SM arm. The recall rate was 48.6 per 1000 women screened (2416 of 49 715) with DBT plus SM and 49.9 per 1000 women screened (2483 of 49 762) with DM. The true-positive recall rate of DBT plus SM (8.4 per 1000 women screened; 416 of 49 715) was higher than that of DM (6.2 per 1000 women screened; 306 of 49 762), a difference of 2.2 per 1000 women screened (CI: 0.4, 4.0). The false-positive recall rate was lower with DBT plus SM (40.2 per 1000 women screened; 2000 of 49 715) than with DM (43.7 per 1000 women screened [2177 of 49 762]; difference: -3.5 per 1000 women screened [CI: -7.8, 0.7]), particularly in the first screening round (DBT plus SM: 94.0 per 1000 women; DM: 109.6 per 1000 women screened; difference, -15.6 per 1000 women screened [CI: -31.0, -0.2]). The positive predictive value of recall was higher with DBT plus SM (17.2%; 416 of 2416 women recalled) than with DM (12.3% [306 of 2483 women recalled]; difference, 4.9% [CI: 1.5, 8.3]). The false-positive biopsy rate (7.8 per 1000 women screened; 388 of 49 715) was higher with DBT plus SM (1.8 per 1000 women screened; CI: 0.0, 3.6), and the positive predictive value of biopsies performed was 51.7% (416 of 804 women with biopsies performed; difference, 1.1%; CI: -7.9, 10.2). Interval cancers after false-positive recalls were rare (five with DBT plus SM and two with DM). Conclusion This exploratory analysis of the large randomized TOSYMA trial indicates that DBT plus SM showed lower false-positive recall rates than DM, especially in first-round screening participants. Mildly raised false-positive biopsies of DBT plus SM were compensated by more detected breast cancers. ClinicalTrial.gov identifier: NCT03377036 © RSNA, 2025 ",2688
40923884,Calcifications Affect Pathologic Complete Response and MRI Prediction after Neoadjuvant Chemotherapy in Human Epidermal Growth Factor Receptor 2-positive Breast Cancer.,Radiology,2025,"Background The optimal surgical management of human epidermal growth factor receptor 2 (HER2)-positive breast cancer with calcifications remains controversial, particularly when pathologic complete response (pCR) is suspected. Purpose To identify factors associated with pCR after neoadjuvant chemotherapy in patients with HER2-positive breast cancer and assess whether calcifications affect the performance of radiologic complete response (rCR) at MRI for predicting pCR. Materials and Methods This retrospective study included patients with HER2-positive breast cancer who received neoadjuvant docetaxel, carboplatin, trastuzumab, and pertuzumab and underwent surgery between January 2021 and October 2023. The association of clinicopathologic factors and imaging features at mammography and MRI with pCR was analyzed using logistic regression. The diagnostic performance of rCR at MRI for predicting pCR was compared between patients with and without calcifications using the χ",980
40923882,Emphysema at Baseline Low-Dose CT Lung Cancer Screening Predicts Death from Chronic Obstructive Pulmonary Disease and Cardiovascular Disease Up to 25 Years Later.,Radiology,2025,"Background The prognostic value of baseline visual emphysema scoring at low-dose CT (LDCT) in lung cancer screening cohorts is unknown. Purpose To determine whether a single visual emphysema score at LDCT is predictive of 25-year mortality from all causes, chronic obstructive pulmonary disease (COPD), and cardiovascular disease (CVD). Materials and Methods In this prospective cohort study, asymptomatic adults aged 40-85 years with a history of smoking underwent baseline LDCT screening for lung cancer between June 2000 and December 2008. Follow-up continued until death, loss to follow-up, or December 31, 2024. Emphysema was assessed at baseline LDCT and scored from 0 (none) to 3 (severe) by one of four experienced chest radiologists. Baseline smoking history and comorbidities were self-reported. Causes of death (International Classification of Diseases, 10th Revision) were obtained from the U.S. National Death Index, physicians, and family. Associations between emphysema and mortality were evaluated using adjusted Cox proportional hazards and adjusted Fine-Gray competing risks models. Results Among 9047 participants (4614 female; median age, 65 years [IQR, 61-69 years]; median pack-years of smoking, 43 [IQR, 28-64]), 2637 (29.1%) had emphysema (mild in 1908 [21.1%], moderate in 512 [5.7%], and severe in 217 [2.4%]). Median follow-up was 23.3 years. Emphysema was independently predictive of all-cause mortality (hazard ratio [HR], 1.29; 95% CI: 1.21, 1.38; ",1478
40912058,The art of diagnosing rare skin tumors: Can DL-CNNs enhance dermatologists' diagnostic accuracy?,"European journal of cancer (Oxford, England : 1990)",2025,"Deep learning convolutional neural networks (DL-CNN) achieved diagnostic accuracies comparable to dermatologists in controlled test environments. However, their performance in diagnosing rare skin tumors (RST) remains unclear. This study aimed to evaluate a binary DL-CNN's diagnostic performance in RST and assess the level of support for an international group of dermatologists. In a cross-sectional reader study, a market-approved binary DL-CNN (Moleanalyzer-Pro) assessed 200 dermoscopic images in a conveniance sample of histologically confirmed RST. An international panel of dermatologists rated malignancy and management across three levels: (I) dermoscopy only, (II) dermoscopy, close-up images, and metadata, (III) level-II plus DL-CNN malignancy predictions. Sensitivity, specificity, and the area under the receiver operating characteristic curve (ROC-AUC) for the DL-CNN versus dermatologists (level-II). Secondary outcomes included performance changes across study levels. The DL-CNN achieved a sensitivity (95 % CI) of 66.7 % (56.4 %-75.6 %), specificity of 56.4 % (47.0 %-65.3 %), and ROC-AUC of 0.634 (0.557-0.711). Dermatologists reached a significantly higher mean sensitivity (80.3 %, 77.3 %-83.4 %), specificity (65.1 %, 61.3 %-69.0 %), and ROC-AUC (0.839, 0.783-0.894; all p < 0.001). With DL-CNN predictions, dermatologists' sensitivity slightly increased (81.3 %, p = 0.032), specificity decreased (64.0 %, p = 0.036), and ROC-AUC remained unchanged. The DL-CNN could not improve dermatologists' accuracy in misclassified cases. The tested DL-CNN showed a limited diagnostic performance in diagnosing RST. While minor effects on expert decision-making were observed, overall diagnostic accuracy remained highest with full clinical context. Better training data are needed for improved DL-CNN performance in RST.",1836
40892453,Case 340: Pulmonary Necrobiotic Nodules as a Lung Manifestation of Crohn Disease.,Radiology,2025,"A 36-year-old woman with an otherwise unremarkable medical history was diagnosed with moderate to severe Crohn disease and was started on infliximab. One year later, infliximab was discontinued due to intolerance, and the patient began azathioprine and mesalazine treatment, achieving stable disease. Eight months after discontinuing infliximab, during a Crohn disease flare-up, an urgent abdominal CT examination was performed, partially documenting the lung bases. The patient maintained her therapy, with remission of the flare-up. Sixteen months after discontinuing infliximab and 8 months after initial abdominal CT, she presented to the emergency department with pleuritic chest pain and occasional dyspnea. She was afebrile, and her physical examination and routine laboratory test results were unremarkable. Chest CT was performed. The patient was started on analgesics and referred to a pulmonology appointment, where biopsy of the lesion was recommended. One month after chest CT, while awaiting the biopsy results, the patient again presented to the emergency department with recurring similar symptoms after a brief period of symptomatic improvement. Physical examination and laboratory test results remained unremarkable. This visit prompted a new chest CT examination.",1282
40892452,Intratumoral Microbiome-related MRI Model for Predicting Breast Cancer Shrinkage Pattern Following Neoadjuvant Therapy.,Radiology,2025,"Background Patients with breast cancer exhibit different tumor shrinkage patterns (TSPs) after neoadjuvant therapy (NAT), making accurate TSP prediction essential for breast-conserving surgery planning. The intratumoral microbiome influences treatment response, and related imaging features may improve TSP prediction. Purpose To develop an intratumoral microbiome-related MRI model that accurately predicts TSP following NAT. Materials and Methods This retrospective study included patients with breast cancer who underwent NAT followed by surgery at 12 institutions between July 2015 and April 2023. Patients were allocated to training (",639
40891975,Node Reporting and Data System Evaluation of Axillary Nodes in Invasive Ductal and Lobular Carcinoma.,Radiology,2025,"Background Although the Node Reporting and Data System (Node-RADS) offers a standardized method for assessing lymph node metastasis, its performance may vary according to the histologic type of breast cancer. Purpose To evaluate the applicability of the Node-RADS score in assessing axillary lymph node involvement in patients with invasive ductal carcinoma (IDC) or invasive lobular carcinoma (ILC). Materials and Methods In this retrospective study, data from consecutive women with pathologically confirmed IDC or ILC who underwent preoperative breast MRI between January 2017 and December 2018 were analyzed. Axillary nodal status was assessed using Node-RADS, in which nodal size and configuration criteria are combined into a final assessment score ranging from 1 (very low suspicion) to 5 (very high suspicion). The performance of the Node-RADS score for predicting axillary lymph node metastasis was compared between the two histologic types using the χ",961
40875213,Iodine Seed-Marking Protocol for Response-Guided Axillary Treatment After Systemic Therapy for Node-Positive Breast Cancer.,JAMA oncology,2025,"Most patients with clinically node-positive (cN+) breast cancer receive primary systemic treatment (PST) followed by axillary lymph node dissection (ALND) and/or locoregional radiation (RT). The necessity of axillary treatment in patients achieving nodal pathologic complete response (pCR) after PST remains uncertain. To assess oncologic outcomes of response-guided axillary treatment determined by marking the axillary lymph node with a radioactive iodine seed (MARI) in patients with cN+ breast cancer who experience pCR after PST. This cohort study was conducted at a single center including patients with breast cancer with 3 or fewer axillary lymph nodes on fluorodeoxyglucose positron emission tomography-computed tomography who were treated according to the MARI protocol from July 2014 to December 2021. Patients with intramammary or periclavicular lymph node involvement were excluded. Median (IQR) follow-up was 49 (32-70) months. Data were analyzed from March to June 2025. After PST, the MARI-marked lymph node was excised. Patients with pCR of the MARI node (ypN0) received no further axillary treatment, whereas patients with residual disease (ypN+) received locoregional radiation therapy. The primary outcome measure was axillary recurrence rate. The secondary outcome measures were 5-year invasive disease-free survival (iDFS) and overall survival (OS). In total, 350 patients (median [IQR] age, 49 [41-56] years) were included and analyzed; of these, 135 (39%) had ypN0 and received no further axillary treatment. The remaining 215 patients with ypN+ (61%) received RT. After a median (IQR) follow-up of 49 (32-70) months, axillary recurrence rate was 0.7% (n = 1; 95% CI, 0.04%-4.1%) in patients with ypN0 and 2.3% (n = 7; 95% CI, 1.0%-5.3%) in patients with ypN+. In patients with ypN0, the 5-year iDFS was 93% (95% CI, 88%-98%) and the OS was 98% (95% CI, 95%-100%); in patients with ypN+, iDFS was 87% (95% CI, 82%-93%) and OS, 93% (95% CI, 89%-97%). This cohort study found that response-guided axillary treatment, using the MARI protocol, in patients with limited nodal disease who received PST was associated with a very low risk of axillary recurrence and should be considered to protect patients from axillary overtreatment.",2252
40856596,MRI-based Middle Neck Involvement in Stage N1-N2 Nasopharyngeal Carcinoma: A Marker for Risk Stratification.,Radiology,2025,"Background The prognostic implications of middle neck involvement, defined as cervical lymph node metastasis between the caudal border of the hyoid bone and the cricoid cartilage, remain unclear in nasopharyngeal carcinoma (NPC). Purpose To investigate the prognostic significance of middle neck involvement in patients with N1 or N2 NPC. Materials and Methods This retrospective analysis included patients with N1 or N2 NPC without distant metastasis treated between April 2009 and December 2017. Patients were categorized according to the presence or absence of middle neck involvement, as determined at MRI. Survival analysis was performed by incorporating TN category and middle neck involvement. Kaplan-Meier curves and the log-rank test were used to compare survival outcomes. Results This study included 9795 patients (mean age, 45 years ± 11 [SD]; 7135 male). Middle neck involvement was identified in 17.0% of patients (1668 of 9795), with prevalence rates of 11.4% (848 of 7429) in the N1 subgroup and 34.7% (820 of 2366) in the N2 subgroup. Multivariable analysis revealed that middle neck involvement was an independent prognostic factor for reduced metastasis-free survival (MFS), overall survival (OS), and disease-free survival (DFS) in both the N1 (all ",1269
40828041,AI Should Read Mammograms Only When Confident: A Hybrid Breast Cancer Screening Reading Strategy.,Radiology,2025,"Background Quantifying the uncertainty in artificial intelligence (AI)-based interpretations of mammograms could help AI integration in screening. Purpose To evaluate the reduction in radiologists' reading workload in mammographic screening while maintaining performance by incorporating an AI model that includes uncertainty quantification. Materials and Methods An AI model was introduced that outputs a probability of malignancy (PoM) and a measure of its uncertainty. Eight candidate uncertainty metrics, based on one or all suspicious regions, were tested. A hybrid reading approach was proposed, with recall decisions made by the model only when predictions were deemed confident; otherwise, radiologist double reading was applied. The approach was retrospectively optimized and tested with a previously unseen set of screening examinations from July 2003 to August 2018, split 50-50. Recall and cancer detection rates were compared with standard double reading. The model's area under the receiver operating characteristic curve (AUC) was compared between examinations with uncertain predictions and examinations with certain predictions. One-tailed ",1157
40818168,Identifying melanoma among benign simulators - Is there a role for deep learning convolutional neural networks? (MelSim Study).,"European journal of cancer (Oxford, England : 1990)",2025,"Early detection of cutaneous melanoma (CM) is crucial for patient survival, yet avoiding overdiagnosis remains essential. Differentiating CM from benign melanoma simulators (MelSim) is challenging due to overlapping features. Deep learning convolutional neural networks (DL-CNNs) have demonstrated dermatologist-level accuracy in identifying CM. We hypothesized that support from DL-CNN could increase dermatologists' accuracy in differentiating CM from MelSim. This cross-sectional reader study analyzed the diagnostic performance of a DL-CNN and 27 dermatologists for 200 skin lesions (100 CM, 100 MelSim). The DL-CNN assigned malignancy scores ranging from 0 to 1 (> 0.5 indicating malignancy). Dermatologists assessed lesions across three levels: (I) dermoscopy only, (II) full case information (dermoscopy, close-up images, metadata), and (III) full case information plus DL-CNN scores. Primary outcomes were sensitivity, specificity, and ROC-AUC of dermatologists with or without DL-CNN-support (level-II versus -III). The DL-CNN and dermatologists in level-II showed a comparable sensitivity (95 % CI) of 90.0 % (82.6-94.5 %) and 90.1 % (86.9-93.2 %, p = 0.153), respectively. However, the DL-CNN's specificity (67.0 % (57.3-75.4 %) versus 73.2 % (69.1-77.3 %)) and ROC-AUC (0.889 (0.845-0.932) versus 0.951 (0.920-0.982)) were significantly lower than for dermatologists (all p < 0.01). When dermatologists integrated DL-CNN predictions (level-III) their sensitivity increased to 91.4 % (88.3-94.5 %, p < 0.001) without markedly changing specificity (74.2 % (70.6-77.7 %, p = 0.435)) or ROC-AUC (0.954 (0.927-0.982, p = 0.581)). Collaboration with a DL-CNN slightly improved dermatologists' diagnostic accuracy in a mixed CM and MelSim dataset, by increasing sensitivity without a loss of specificity. The DL-CNN's level of sensitivity in this difficult-to-diagnose dataset underlines the potential as an assistant diagnostic tool.",1939
40793948,Performance of Algorithms Submitted in the 2023 RSNA Screening Mammography Breast Cancer Detection AI Challenge.,Radiology,2025,"Background The 2023 RSNA Screening Mammography Breast Cancer Detection AI Challenge invited participants to develop artificial intelligence (AI) models capable of independently interpreting mammograms. Purpose To assess the performance of the submitted algorithms, explore the potential for improving performance by combining the best-performing AI algorithms, and investigate how performance was influenced by the demographic and clinical characteristics of the evaluation cohort. Materials and Methods A total of 1687 AI algorithms were submitted from November 2022 to February 2023. Of these, 1537 algorithms were assessed using an evaluation dataset from two sites-one in the United States and one in Australia. Cancer cases were identified at screening and confirmed with pathologic examination; noncancer cases were followed up for at least 1 year. Results for ensemble models of top algorithms were computed by recalling a case when any of the included algorithms indicated recall. Odds ratios (ORs) were used to investigate differences in AI performance when the dataset was stratified by clinical or demographic characteristics. Results The evaluation dataset consisted of 5415 women (median age, 59 years [IQR, 52-66 years]). Among the 1537 AI algorithms, the median recall rate, sensitivity, specificity, and positive predictive value (PPV) were 1.7%, 27.6%, 98.7%, and 36.9%, respectively. For the top-ranked algorithm, the recall rate, sensitivity, specificity, and PPV were 1.5%, 48.6%, 99.5%, and 64.6%, respectively. Ensemble models of the top 3 and top 10 algorithms had a sensitivity of 60.7% and 67.8%, respectively; the corresponding recall rates were 2.4% and 3.5%, and the corresponding specificities were 98.8% and 97.8%. Lower sensitivity was observed for the U.S. dataset than for the Australian dataset (top 3 ensemble model: 52.0% vs 68.1%; OR = 0.51; ",1879
